Year,Title,Source,Link,Output,Task,Query,Structured,Cost,Model,Learning,Start,Stop,Others
2020,Uncertainty and Traffic-Aware Active Learning for Semantic Parsing,ACL,https://aclanthology.org/2020.intexsempar-1.2,Generation,Others,"Uncertainty,Density",-,-,-,-,-,-,-
2020,Deep Active Learning for Sequence Labeling Based on Diversity and Uncertainty in Gradient,ACL,https://aclanthology.org/2020.lifelongnlp-1.1,Sequence_labeling,"NER,NLU","Uncertainty,Disagreement,Batch_diversity,Hybrid(integrated)",-,-,-,-,-,-,-
2020,A Deep Active Learning Covid-19 Relevancy Algorithm to Identify Core Scientific Articles,ACL,https://aclanthology.org/2020.nlpcovid19-2.2,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2019,Practical Obstacles to Deploying Active Learning,ACL,https://aclanthology.org/D19-1003,"Classification,Sequence_labeling","Classification,NER","Uncertainty,Disagreement",-,-,Model_mismatch,-,-,-,-
2019,Sampling Bias in Deep Active Classification: An Empirical Study,ACL,https://aclanthology.org/D19-1417,Classification,Classification,"Uncertainty,Disagreement,Batch_diversity",-,-,-,-,-,-,-
2019,A Little Annotation does a Lot of Good: A Study in Bootstrapping Low-resource Named Entity Recognizers,ACL,https://aclanthology.org/D19-1520,Sequence_labeling,NER,Uncertainty,Partial,-,-,Transfer_learning,-,-,-
2019,On the Limits of Learning to Actively Learn Semantic Representations,ACL,https://aclanthology.org/K19-1042,Complex_structured_prediction,Others,Performance_prediction,-,-,-,-,-,-,-
2019,Active Learning via Membership Query Synthesis for Semi-Supervised Sentence Classification,ACL,https://aclanthology.org/K19-1044,Classification,Classification,Uncertainty,-,-,-,Data_augmentation,-,-,-
2019,Competence-based Curriculum Learning for Neural Machine Translation,ACL,https://aclanthology.org/N19-1119,Generation,MT,Others,-,-,-,-,-,-,Related_direction
2019,"Practical, Efficient, and Customizable Active Learning for Named Entity Recognition in the Digital Humanities",ACL,https://aclanthology.org/N19-1231,Sequence_labeling,NER,"Density,Discriminative",-,-,-,-,-,-,-
2019,Active Learning for New Domains in Natural Language Understanding,ACL,https://aclanthology.org/N19-2012,"Classification,Sequence_labeling",NLU,"Uncertainty,Disagreement",-,-,-,-,-,-,-
2019,Learning How to Active Learn by Dreaming,ACL,https://aclanthology.org/P19-1401,"Classification,Sequence_labeling","Classification,NER","Uncertainty,Performance_prediction,Discriminative",-,-,-,Transfer_learning,-,-,-
2019,Low-resource Deep Entity Resolution with Transfer and Active Learning,ACL,https://aclanthology.org/P19-1586,Complex_structured_prediction,Others,Uncertainty,-,-,-,"Semi_supervised,Transfer_learning",-,-,Data_imbalance
2019,AlpacaTag: An Active Learning-based Crowd Annotation Framework for Sequence Tagging,ACL,https://aclanthology.org/P19-3010,Sequence_labeling,NER,Uncertainty,-,-,-,-,-,-,"Tools,Crowdsourcing"
2019,MedCATTrainer: A Biomedical Free Text Annotation Interface with Active Learning and Research Use Case Specific Customisation,ACL,https://aclanthology.org/D19-3024,Sequence_labeling,"NER,Others",Uncertainty,-,-,-,-,-,-,Tools
2019,Active Learning for Financial Investment Reports,ACL,https://aclanthology.org/W19-6404,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2019,Empirical Evaluation of Active Learning Techniques for Neural MT,ACL,https://aclanthology.org/D19-6110,Generation,MT,"Uncertainty,Density,Discriminative,Others(special)",-,-,-,-,-,-,-
2019,Turning silver into gold: error-focused corpus reannotation with active learning,ACL,https://aclanthology.org/R19-1088,"Classification,Sequence_labeling","Classification,POS",Density,-,-,-,-,-,-,-
2018,Exploiting Structure in Representation of Named Entities using Active Learning,ACL,https://aclanthology.org/C18-1058,Sequence_labeling,NER,"Uncertainty,Density,Hybrid(simple)",-,-,-,-,-,-,-
2018,Using active learning to expand training data for implicit discourse relation recognition,ACL,https://aclanthology.org/D18-1079,Classification,Discourse,Uncertainty,-,-,-,Weak_supervision,-,-,-
2018,Learning a Policy for Opportunistic Active Learning,ACL,https://aclanthology.org/D18-1165,Complex_structured_prediction,Others,Others(special),-,-,-,-,-,-,-
2018,Deep Bayesian Active Learning for Natural Language Processing: Results of a Large-Scale Empirical Study,ACL,https://aclanthology.org/D18-1318,"Classification,Sequence_labeling","Classification,NER,SRL","Uncertainty,Disagreement",-,-,-,-,-,-,-
2018,APRIL: Interactively Learning to Summarise by Combining Active Preference Learning and Reinforcement Learning,ACL,https://aclanthology.org/D18-1445,Sequence_labeling,Others,Uncertainty,-,-,-,-,-,-,-
2018,Active Learning for Interactive Neural Machine Translation of Data Streams,ACL,https://aclanthology.org/K18-1015,Generation,MT,"Uncertainty,Disagreement",-,Directly_reducing_cost,-,-,-,-,-
2018,Learning to Actively Learn Neural Machine Translation,ACL,https://aclanthology.org/K18-1033,Generation,MT,"Uncertainty,Performance_prediction",-,-,-,Transfer_learning,-,-,-
2018,Learning How to Actively Learn: A Deep Imitation Learning Approach,ACL,https://aclanthology.org/P18-1174,"Classification,Sequence_labeling","Classification,NER","Uncertainty,Discriminative,Performance_prediction",-,-,-,Transfer_learning,-,-,-
2018,Active learning for deep semantic parsing,ACL,https://aclanthology.org/P18-2008,Generation,Others,"Uncertainty,Others(special)",-,-,-,-,-,-,-
2018,Active DOP: A constituency treebank annotation tool with online learning,ACL,https://aclanthology.org/C18-2009,Complex_structured_prediction,Parsing,Others,-,-,-,-,-,-,Tools
2018,APLenty: annotation tool for creating high-quality datasets using active and proactive learning,ACL,https://aclanthology.org/D18-2019,Sequence_labeling,Others,Uncertainty,-,-,-,-,-,-,Tools
2018,Multi-Task Active Learning for Neural Semantic Role Labeling on Low Resource Conversational Corpus,ACL,https://aclanthology.org/W18-3406,Sequence_labeling,SRL,Uncertainty,-,-,-,-,-,-,Multiple_targets
2018,Cost-Sensitive Active Learning for Dialogue State Tracking,ACL,https://aclanthology.org/W18-5022,Classification,Others,"Uncertainty,Discriminative,Hybrid(simple)",-,Cost_sensitive,-,-,-,-,-
2017,Learning how to Active Learn: A Deep Reinforcement Learning Approach,ACL,https://aclanthology.org/D17-1063,Sequence_labeling,NER,"Uncertainty,Performance_prediction",-,-,-,Transfer_learning,-,-,-
2017,Active Sentiment Domain Adaptation,ACL,https://aclanthology.org/P17-1156,Classification,Others,"Uncertainty,Density,Hybrid(simple),Hybrid(dynamic)",-,-,-,Transfer_learning,Seed,-,-
2017,Model Transfer for Tagging Low-resource Languages using a Bilingual Dictionary,ACL,https://aclanthology.org/P17-2093,Sequence_labeling,POS,Uncertainty,-,-,-,Transfer_learning,-,-,-
2017,Deep Active Learning for Dialogue Generation,ACL,https://aclanthology.org/S17-1008,Generation,Others,Others(special),-,Directly_reducing_cost,-,-,-,-,-
2017,Proactive Learning for Named Entity Recognition,ACL,https://aclanthology.org/W17-2314,Sequence_labeling,NER,"Uncertainty,Density,Hybrid(simple)",-,Cost_sensitive,-,-,-,-,-
2017,Deep Active Learning for Named Entity Recognition,ACL,https://aclanthology.org/W17-2630,Sequence_labeling,NER,"Uncertainty,Disagreement",Full,-,-,-,-,-,-
2016,Solving the AL Chicken-and-Egg Corpus and Model Problem: Model-free Active Learning for Phenomena-driven Corpus Construction,ACL,https://aclanthology.org/L16-1697,Others,Others,Others(special),-,-,-,-,-,-,-
2016,"Selecting Syntactic, Non-redundant Segments in Active Learning for Machine Translation",ACL,https://aclanthology.org/N16-1003,Generation,MT,Discriminative,Partial,-,-,-,-,-,-
2016,Active Learning for Dependency Parsing with Partial Annotation,ACL,https://aclanthology.org/P16-1033,Complex_structured_prediction,Parsing,Uncertainty,Partial,Measurement,-,-,-,-,-
2016,ALTO: Active Learning with Topic Overviews for Speeding Label Induction and Document Labeling,ACL,https://aclanthology.org/P16-1110,Classification,Classification,"Uncertainty,Density",-,-,-,-,-,-,-
2016,On-line Active Reward Learning for Policy Optimisation in Spoken Dialogue Systems,ACL,https://aclanthology.org/P16-1230,Classification,Others,Uncertainty,-,-,-,-,-,-,-
2016,TextPro-AL: An Active Learning Platform for Flexible and Efficient Production of Training Data for NLP Tasks,ACL,https://aclanthology.org/C16-2028,Others,Others,Others,-,-,-,-,-,-,Tools
2016,SteM at SemEval-2016 Task 4: Applying Active Learning to Improve Sentiment Classification,ACL,https://aclanthology.org/S16-1007,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
